201	01.01.11.04.024	Tanah Bangunan Pos Jaga/Menara Jaga
202	01.01.11.04.025	Tanah Bangunan Tempat Kerja Lainnya
203	01.01.11.04.026	Tanah BangunanTempat Kerja Lainnya
204	01.01.11.05.001	Tanah kosong yang tidak diusahakan
205	01.01.11.05.002	Tanah Sawah
206	01.01.11.05.003	Tanah Tegalan
207	01.01.11.05.004	Tanah Kebun
208	01.01.11.05.005	Tanah kosong yang sudah diperuntukkan
209	01.01.11.05.006	Kebun Pembibitan
210	01.01.11.05.007	Tanah Kosong Lainnya
211	01.01.11.06.001	Tanah Peternakan
212	01.01.11.06.002	Tanah Peternakan Lainnya
213	01.01.11.07.001	Tanah Waduk
214	01.01.11.07.002	Tanah Komplek Bendungan
215	01.01.11.07.003	Tanah Jaringan/Saluran
216	01.01.11.07.004	Tanah Bangunan Pengairan Lain-lain
217	01.01.11.08.001	Tanah Jalan
218	01.01.11.08.002	Tanah Jembatan
219	01.01.11.08.003	Tanah Bangunan Jln dan Jembatan Lain-lain
220	01.01.11.09.001	Tanah Lembiran Pengairan
221	01.01.11.09.002	Tanah Lambiran Jalan dan Jembatan
222	01.01.11.09.003	Tanah Lembiran/Bantaran/Lepe2 Lain-lain
223	01.01.12.01.001	Intan
224	01.01.12.01.002	Emas
225	01.01.12.01.003	Perak
226	01.01.12.01.004	Nekel
227	01.01.12.01.005	Timah
228	01.01.12.01.006	Uranium
229	01.01.12.01.007	Tembaga
230	01.01.12.01.008	Minyak Bumi
231	01.01.12.01.009	Batu Bara
232	01.01.12.01.010	Koslin
233	01.01.12.01.011	Batu Bara Berharga
234	01.01.12.01.012	Pasir Berharga
235	01.01.12.01.013	Pertambangan Lain-lain
236	01.01.13.01.001	Tanah Lapangan Tenis
237	01.01.13.01.002	Tanah Lapangan Basket
238	01.01.13.01.003	Tanah Lapangan Badminton/Bulutangkis
239	01.01.13.01.004	Tanah Lapangan Golf
240	01.01.13.01.005	Tanah Lapangan Sepak Bola
241	01.01.13.01.006	Tanah Lapangan Bola Volly
242	01.01.13.01.007	Tanah Lapangan Sepak Takraw
243	01.01.13.01.008	Tanah Lapangan Pacuan Kuda
244	01.01.13.01.009	Tanah Lapangan Balap Sepeda
245	01.01.13.01.010	Tanah Lapangan Atletik
246	01.01.13.01.011	Tanah Lapangan Softball
247	01.01.13.01.012	Tanah Lapangan Olah Raga Lain-lain
248	01.01.13.01.013	
249	01.01.13.02.001	Tanah Lapangan Parkir Konstruksi Beton
250	01.01.13.02.002	Tanah Lapangan Parkir Konstruksi Aspal
251	01.01.13.02.003	Tanah Lapangan Parkir Sirtu (Pasir Batu)
252	01.01.13.02.004	Tanah Lapangan Parkir Konblok
253	01.01.13.02.005	Tanah Lapangan Parkir Tanah Keras
254	01.01.13.02.006	Tanah Lapngan Parkir Lain-lain
255	01.01.13.03.001	Tanah Lapangan Penimbun Barang Belum Diolah
256	01.01.13.03.002	Tanah Lapangan Penimbun Barang Jadi
257	01.01.13.03.003	Tanah Lapangan Penimbun Pembuangan Sampah
258	01.01.13.03.004	Tanah Lapangan Penimbun Bahan Bangunan
259	01.01.13.03.005	Tanah Lapangan Penimbun Barang Bukti
260	01.01.13.03.006	Tanah Lapangan Penimbun Barang Lain-lain
261	01.01.13.04.001	Tanah Lapangan Pemancar TV/Radio/Radar
262	01.01.13.04.002	Tanah Lapangan Studio Alam
263	01.01.13.04.003	Tanah Lapangan Pemancar Lainnya
264	01.01.13.04.004	Tanah Lapangan Pemancar & Studi Lain-lain
265	01.01.13.05.001	Tanah Lapangan Pengujian Kendraan Bermotor
266	01.01.13.05.002	Tanah Lapangan Pengelolaan Bahan Bangunan
267	01.01.13.05.003	Tanah Lapangan Pengujian Lainnya
268	01.01.13.05.004	Tanah Lapangan Pengujian Lain-lain
269	01.01.13.06.001	Tanah Lapangan Terbang Perintis
270	01.01.13.06.002	Tanah Lapangan Komersial
271	01.01.13.06.003	Tanah Lapangan Terbang Khusus/Militer
272	01.01.13.06.004	Tanah Lapangan Terbang Olah Raga
273	01.01.13.06.005	Tanah Lapangan Terbang Pendidikan
274	01.01.13.06.006	Tanah Lapangan Terbang Lainnya
275	01.01.13.07.001	Tanah Untuk Jalan Nasional
276	01.01.13.07.002	Tanah Untuk Jalan Propinsi
277	01.01.13.07.003	Tanah Untuk Jalan Kabupaten
278	01.01.13.07.004	Tanah Untuk Jalan Kotamadya
279	01.01.13.07.005	Tanah Untuk Jalan Desa
280	01.01.13.07.006	Tanah Untuk Jalan Tol
281	01.01.13.07.007	Tanah Untuk Jalan Kereta Api/Lori
282	01.01.13.07.008	Tanah Untuk Jalan Landasan Pacu Pesawat Terbang
283	01.01.13.07.009	Tanah Untuk Jalan Khusus/Komplek
284	01.01.13.07.010	Tanah Utk Bangunan Jalan Lain-lain
285	01.01.13.08.001	Tanah Untuk Bangunan Air Irigasi
286	01.01.13.08.002	Tanah Untuk Bangunan Pengairan Pasang Surut
287	01.01.13.08.003	Tanah Untuk Bangunan Pengembangan Rawa dan Polder
288	01.01.13.08.004	Tanah Untuk Bangunan Pengaman Sungai dan Penanggul
289	01.01.13.08.005	Tanah Untuk Bangunan Pengembangan Sumber Air dan Air Tanah
290	01.01.13.08.006	Tanah Untuk Bangunan Air Bersih/Air Baku
291	01.01.13.08.007	Tanah Untuk Bangunan Air Kotor
292	01.01.13.08.008	Tanah Utk Bangunan Air Lain-lain
293	01.01.13.09.001	Tanah Untuk Bangunan Instalasi Air Bersih/Air Baku
294	01.01.13.09.002	Tanah Untuk Bangunan Instalasi Air Kotor/Air Limbah
295	01.01.13.09.003	Tanah Untuk Bangunan Instalasi Pengolahan Sampah
296	01.01.13.09.004	Tanah Untuk Bangunan Instalasi Pengolahan Bahan Bangunan
297	01.01.13.09.005	Tanah Untuk Bangunan Instalasi Listrik
298	01.01.13.09.006	Tanah Untuk Bangunan Instalasi Gardu Listrik
299	01.01.13.09.007	Tanah Untuk Bangunan Instalasi Pengolahan Limbah
300	01.01.13.09.008	Tanah Utk Bangunan Instalsi Lain-lain
301	01.01.13.10.001	Tanah Untuk Bangunan Jaringan Air Bersih/Air Baku
302	01.01.13.10.002	Tanah Untuk Bangunan Jaringan Komunikasi
303	01.01.13.10.003	Tanah Untuk Bangunan Jaringan Listrik
