161	04.14.02.01.001	Bangunan Waduk Pasang Surut
162	04.14.02.01.002	Bangunan Waduk Lain-lain
163	04.14.02.02.001	Bendungan dengan Pompa
164	04.14.02.02.002	Bebas dengan Pompa
165	04.14.02.02.003	Bangunan Pengambilan Pasang Surat Lain-lain
166	04.14.02.03.001	Saluran Muka
167	04.14.02.03.002	Saluran Induk
168	04.14.02.03.003	Saluran Sekunder
169	04.14.02.03.004	Saluran Tertier
170	04.14.02.03.005	Saluran Penyimpanan Air
171	04.14.02.03.006	Bangunan Pembawa Pasang Surut Lain-lain
172	04.14.02.04.001	Saluran Induk (Primer) Pembuang
173	04.14.02.04.002	Saluran Sekunder Pembuang
174	04.14.02.04.003	Saluran Tertier Pembuang
175	04.14.02.04.004	Saluran Pengumpul Air
176	04.14.02.04.005	Terusan (Kanal)
177	04.14.02.04.006	Bangunan Pembuang Pasang Surut Lain-lain
178	04.14.02.05.001	Pintu Air
179	04.14.02.05.002	Pemasukan/Pembuang
180	04.14.02.05.003	Kolam Pasang
181	04.14.02.05.004	Bangunan Pengamanan Pasang Surut lain-lain
182	04.14.02.06.001	Bangunan Jembatan
183	04.14.02.06.002	Jembatan Penghalang
184	04.14.02.06.003	Bangunan Penutup Pangkis Kotoran
185	04.14.02.06.004	Bangunan Pengukur Air Muka
186	04.14.02.06.005	Bangunan Pengukur Curah Hujan
187	04.14.02.06.006	Bangunan Pelengkap Pasang Surut Lain-lain
188	04.14.02.07.001	Sawah Pasang Surut Teknis
189	04.14.02.07.002	Sawah Pasang Surut Semi Teknis
190	04.14.02.07.003	Sawah Pasang Surut Non Teknis
191	04.14.02.07.005	Bangunan Sawah Pasang Surut Lain-lain
192	04.14.03.01.001	Bangunan Waduk Pasang Rawa
193	04.14.03.01.002	Bangunan Waduk
194	04.14.03.01.003	Bangunan Air Pengembang Rawa Lain-lain
195	04.14.03.02.001	Bangunan Pengembalian
196	04.14.03.02.002	Bangunan Pengembalian Pasang Rawa Lain-lain
197	04.14.03.03.001	Saluran Muka
198	04.14.03.03.002	Saluran Induk
199	04.14.03.03.003	Saluran Sekunder
200	04.14.03.03.004	Saluran Tertier
201	04.14.03.03.005	Bangunan Pembawa Pasang Rawa Lain-lain
202	04.14.03.04.001	Saluran Induk Pembuang
203	04.14.03.04.002	Saluran Sekunder Pembuang
204	04.14.03.04.003	Saluran Tertier Pembuang
205	04.14.03.04.004	Bangunan Pembuang Pasang Rawa Lain-lain
206	04.14.03.05.001	Tanggung Keliling
207	04.14.03.05.002	Pintu Air/Klep
